date,description,amount,currency
2024-01-02,Supermarket groceries,3500,LKR
2024-01-03,Uber ride to office,450,LKR
2024-01-05,Electricity bill,8200,LKR
2024-01-07,Restaurant dinner,2100,LKR
2024-01-08,Netflix subscription,1500,LKR
2024-01-10,Pharmacy medicine,680,LKR
2024-01-12,Petrol,4500,LKR
2024-01-14,Supermarket groceries,2900,LKR
2024-01-15,Mobile bill,1200,LKR
2024-01-18,Cinema tickets,1800,LKR
2024-01-20,Uber ride,350,LKR
2024-01-22,Water bill,600,LKR
2024-01-25,Supermarket groceries,4100,LKR
2024-01-27,Restaurant lunch,1400,LKR
2024-01-30,Gym membership,2500,LKR